Percentile,CMAX_dBZ,SDRR_dBZ,Difference_dBZ
79.5,-25,10.053,-35.053
79.45,-25,9.952,-34.952
79.4,-25,9.851,-34.851
79.35,-25,9.751,-34.751
79.3,-25,9.651,-34.651
79.25,-25,9.553,-34.553
79.2,-25,9.456,-34.456
79.15,-25,9.361,-34.361
79.1,-25,9.268,-34.268
79.05,-25,9.178,-34.178
79,-25,9.089,-34.089
78.95,-25,9,-34
78.9,-25,8.912,-33.912
78.85,-25,8.826,-33.826
78.8,-25,8.738,-33.738
78.75,-25,8.65,-33.65
78.7,-25,8.56,-33.56
78.65,-25,8.469,-33.469
78.6,-25,8.375,-33.375
78.55,-25,8.281,-33.281
78.5,-25,8.186,-33.186
78.45,-25,8.091,-33.091
78.4,-25,7.995,-32.995
78.35,-25,7.899,-32.899
78.3,-25,7.802,-32.802
78.25,-25,7.705,-32.705
78.2,-25,7.607,-32.607
78.15,-25,7.51,-32.51
78.1,-25,7.412,-32.412
78.05,-25,7.315,-32.315
78,-25,7.217,-32.217
77.95,-25,7.12,-32.12
77.9,-25,7.024,-32.024
77.85,-25,6.928,-31.928
77.8,-25,6.832,-31.832
77.75,-25,6.738,-31.738
77.7,-25,6.644,-31.644
77.65,-25,6.55,-31.55
77.6,-25,6.457,-31.457
77.55,-25,6.365,-31.365
77.5,-25,6.273,-31.273
77.45,-25,6.181,-31.181
77.4,-25,6.087,-31.087
77.35,-25,5.993,-30.993
77.3,-25,5.898,-30.898
77.25,-25,5.802,-30.802
77.2,-25,5.707,-30.707
77.15,-25,5.612,-30.612
77.1,-25,5.517,-30.517
77.05,-25,5.423,-30.423
77,-25,5.329,-30.329
76.95,-25,5.235,-30.235
76.9,-25,5.142,-30.142
76.85,-25,5.05,-30.05
76.8,-25,4.959,-29.959
76.75,-25,4.868,-29.868
76.7,-25,4.778,-29.778
76.65,-25,4.69,-29.69
76.6,-25,4.602,-29.602
76.55,-25,4.515,-29.515
76.5,-25,4.429,-29.429
76.45,-25,4.343,-29.343
76.4,-25,4.259,-29.259
76.35,-25,4.176,-29.176
76.3,-25,4.093,-29.093
76.25,-25,4.012,-29.012
76.2,-25,3.931,-28.931
76.15,-25,3.851,-28.851
76.1,-25,3.772,-28.772
76.05,-25,3.695,-28.695
76,-25,3.618,-28.618
75.95,-25,3.541,-28.541
75.9,-25,3.466,-28.466
75.85,-25,3.391,-28.391
75.8,-25,3.318,-28.318
75.75,-25,3.245,-28.245
75.7,-25,3.173,-28.173
75.65,-25,3.103,-28.103
75.6,-25,3.033,-28.033
75.55,-25,2.964,-27.964
75.5,-25,2.896,-27.896
75.45,-25,2.828,-27.828
75.4,-25,2.762,-27.762
75.35,-25,2.697,-27.697
75.3,-25,2.632,-27.632
75.25,-25,2.569,-27.569
75.2,-25,2.507,-27.507
75.15,-25,2.445,-27.445
75.1,-25,2.385,-27.385
75.05,-25,2.326,-27.326
75,-25,2.268,-27.268
74.95,-25,2.21,-27.21
74.9,-25,2.154,-27.154
74.85,-25,2.099,-27.099
74.8,-25,2.045,-27.045
74.75,-25,1.992,-26.992
74.7,-25,1.94,-26.94
74.65,-25,1.888,-26.888
74.6,-25,1.839,-26.839
74.55,-25,1.79,-26.79
74.5,-25,1.742,-26.742
74.45,-25,1.695,-26.695
74.4,-25,1.649,-26.649
74.35,-25,1.605,-26.605
74.3,-25,1.561,-26.561
74.25,-25,1.518,-26.518
74.2,-25,1.477,-26.477
74.15,-25,1.436,-26.436
74.1,-25,1.397,-26.397
74.05,-25,1.359,-26.359
74,-25,1.321,-26.321
73.95,-25,1.285,-26.285
73.9,-25,1.25,-26.25
73.85,-25,1.216,-26.216
73.8,-25,1.183,-26.183
73.75,-25,1.151,-26.151
73.7,-25,1.12,-26.12
73.65,-25,1.091,-26.091
73.6,-25,1.062,-26.062
73.55,-25,1.035,-26.035
73.5,-25,1.01,-26.01
73.45,-25,0.989,-25.989
73.4,-25,0.976,-25.976
73.35,-25,0.965,-25.965
73.3,-25,0.955,-25.955
73.25,-25,0.947,-25.947
73.2,-25,0.938,-25.938
73.15,-25,0.931,-25.931
73.1,-25,0.923,-25.923
